city;neighbourhood;street;price;House No.;Flat No.;Area;Number of rooms;Floor;No. of floors;Build year;Building type;Heating system;Equipment;Building Energy Efficiency Class;Description;Additional premises;Additional Equipment;Security;Nearest kindergarten;Nearest educational institution;Nearest shop;Public transport stop;crime;Object;Unique item number (RC number)
Vilnius;Pilaitė;Karaliaučiaus g.;127 500 € (4 250 €/m²);;;30 m²;2;2;4;2024;Brick;Central thermostat;Fully equipped;A++;New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation;Steel doors Code door lock;80 m;380 m;110 m;50 m;5;;
Vilnius;Naujamiestis;A. Vivulskio g.;"Price decreased 1,3%
389 900 € (4 935 €/m²)";;;79 m²;3;4;4;2007;Brick;Central;Fully equipped;;;;;;60 m;160 m;140 m;90 m;30;;
Vilnius;Pašilaičiai;Medeinos g.;"Price decreased 8,3%
110 000 € (2 159 €/m²)";;;50,95 m²;2;1;9;1987;Block house;Central;Fully equipped;;;;;;350 m;130 m;140 m;150 m;6;;
Vilnius;Paupys;Paupio g.;"Price decreased 2,5%
194 900 € (6 066 €/m²)";;;32,13 m²;1;2;4;2021;Brick;Central thermostat;Fully equipped;;Kitchen merged with room;Terrace;Furniture;Steel doors Code door lock;500 m;410 m;210 m;100 m;"20,88 €/month
~ 0,65 €/m²";;
Vilnius;Karoliniškės;Algimanto Petro Kavoliuko g.;199 000 € (3 015 €/m²);14B;;66 m²;3;3;5;2022;Brick;Central thermostat;Partially equipped;A+;New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Parking space;Plastic pipes;Steel doors Code door lock Video surveillance;50 m;550 m;380 m;270 m;22;;
Vilnius;Justiniškės;Justiniškių g.;86 000 € (2 144 €/m²);99;;40,12 m²;2;1;5;1986;Block house;Central;Fully equipped;;Separate bathroom and WC Kitchen merged with room;Storeroom Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower;Steel doors Code door lock;180 m;310 m;250 m;200 m;"51,75 €/month
~ 1,29 €/m²";;
Vilnius;Užupis;Filaretų g.;323 400 € (6 000 €/m²);25;;53,9 m²;3;4;5;2025;Brick;Central thermostat;Partially equipped;A+;Private yard Kitchen merged with room;Terrace;Floor heating system;Steel doors Code door lock Video surveillance;110 m;130 m;390 m;50 m;3;;
Vilnius;Pilaitė;M. Mažvydo g.;"Price decreased 1,6%
189 000 € (3 000 €/m²)";12;;63 m²;3;8;9;2012;Block house;Central thermostat;Fully equipped;;Has elevator Internet Kitchen merged with room;Storeroom Balcony Cellar Parking space;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Bath;Steel doors Alarm system Code door lock;310 m;310 m;70 m;200 m;8;;
Vilnius;Šnipiškės;Kalvarijų g.;"Price increased 5,4%
137 000 € (2 519 €/m²)";;;54,39 m²;3;7;9;1990;Brick;Central;Partially equipped;;Internet High ceiling Two-floor flat Kitchen merged with room;;;Steel doors Code door lock;120 m;200 m;290 m;110 m;15;;
Vilnius;Šnipiškės;Kalvarijų g.;"Price increased 1,3%
69 900 € (2 468 €/m²)";;;28,32 m²;2;9;9;1990;Brick;Central;Partially equipped;;Internet High ceiling Two-floor flat;;;Steel doors Code door lock;120 m;200 m;290 m;110 m;15;;
Vilnius;Žirmūnai;Kalvarijų g.;"Price increased 1,3%
69 900 € (2 582 €/m²)";;;27,07 m²;2;9;9;1990;Brick;Central;Partially equipped;;Internet High ceiling Two-floor flat;;;Steel doors Code door lock;120 m;200 m;290 m;110 m;15;;
Vilnius;Šnipiškės;Kalvarijų g.;"Price increased 5,4%
137 000 € (2 528 €/m²)";;;54,19 m²;3;7;9;1990;Brick;Central;Partially equipped;;Internet High ceiling Two-floor flat;;;Steel doors Code door lock;120 m;200 m;290 m;110 m;15;;
Vilnius;Naujamiestis;Vytenio g.;238 400 € (5 259 €/m²);15;;45,33 m²;2;2;5;2023;Brick;Central thermostat;Fully equipped;A+;Has elevator New sewage system New electrical installation Internet Cable television Kitchen merged with room;Balcony Parking space;Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower;Steel doors Alarm system Code door lock Video surveillance;90 m;210 m;310 m;270 m;14;;
Vilnius;Lazdynai;Architektų g.;134 000 € (2 030 €/m²);66;;66 m²;4;4;9;1970;Block house;Central;Fully equipped;;Has elevator Separate bathroom and WC Internet Cable television Kitchen merged with room;Balcony Cellar;Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Bath;Steel doors Code door lock Video surveillance;180 m;100 m;380 m;100 m;"56,76 €/month
~ 0,86 €/m²";;
Vilnius;Lazdynėliai;Žaibo g.;159 000 € (3 614 €/m²);5;;44 m²;2;1;4;2022;Brick;Central thermostat;Fully equipped;;;;;;160 m;1,8 km;390 m;360 m;0;;
Vilnius;Lazdynėliai;Žaibo g.;163 000 € (3 881 €/m²);7;;42 m²;2;4;4;2022;Brick;Central thermostat;Fully equipped;;;;;;140 m;1,8 km;390 m;360 m;"19,32 €/month
~ 0,46 €/m²";;
Vilnius;Žirmūnai;Olimpiečių g.;700 000 € (7 148 €/m²);;;97,93 m²;3;2;4;2017;Brick;Central thermostat;Fully equipped;A;Private yard Internet;Terrace Parking space;Washing machine Furniture Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;500 m;360 m;380 m;270 m;"34,28 €/month
~ 0,35 €/m²";;
Vilnius;Šnipiškės;Olimpiečių g.;700 000 € (7 148 €/m²);3E;;97,93 m²;3;2;4;2017;Brick;Central thermostat;Fully equipped;;Private yard Internet;Terrace Parking space;Washing machine Furniture Floor heating system Kitchen furniture Stove Dish washer Bath Recuperation;Steel doors Alarm system Code door lock Video surveillance;500 m;360 m;380 m;270 m;"34,28 €/month
~ 0,35 €/m²";;
Vilnius;Senamiestis;Benediktinių g.;1 299 999 € (7 104 €/m²);;;183 m²;5;3;3;1940 construction, 2020 renovation;Brick;Central thermostat;Fully equipped;;;;;;230 m;200 m;260 m;260 m;23;;
Vilnius;Baltupiai;Pušyno kel.;"Price decreased 1%
395 000 € (3 313 €/m²)";3A;13;119,24 m²;5;2;3;2007;Brick;Central thermostat, aerothermal, sun energy;Fully equipped;A;High ceiling Two-floor flat Private yard Internet Cable television Kitchen merged with room;Storeroom Balcony Terrace Parking space Closet;Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Bath;Steel doors Alarm system Code door lock;520 m;660 m;720 m;140 m;2;;
